Country,country_ISO_alpha3,IHH Tier,IHH Data Source,FAO Region,FAO Sub-Region,Fisheries (Inland/Marine),Country Area CFalvo (sq. Km),Proportion_ArcticZone,Proportion_BorealZone,Proportion_SubtropicZone,Proportion_TemperateZone,Proportion_TropicsZone,Proportion_UndefinedZone,Total Population 2018,GDP 2018,HDI 2018,HDI category 2018,GINI 2017,GNI per capita 2018,"Poverty Headcount Ratio 
(@ national poverty lines) 2018 ",Rural Poverty Headcount Ratio (@ national poverty lines) 2015,Literacy Rate 2018,LIFDC_2018,Corruption Perceptions Index 2018,corruption,WGI Control of Corruption Index Standard Error 2018,gov_effectiveness,Government Effectiveness Standard Error 2018,political_stability,Political Stability and Absence of Violence Standard Error 2018,regulatory_quality,Regulatory Quality Standard Error 2018,rule_of_law,WGI Rule of Law Index Standard Error 2018,voice_accountability,WGI Voice and Accountability Index Standard Error 2018,Total Natural Resource Rents (% of GDP) 2017,% of Territorial Waters in MPA 2018,LeastDeveloped_2018,LandLockedDeveloping_2018,SmallIslandDeveloping_2018
Nicaragua,NIC,4,AQ,Americas,Central America,IM,122327,0,0,0,0,1,0,6465513,13117859222,0.651,medium,ND,2030,ND,ND,ND,yes,25,-1.06336,0.1219236,-0.8024699,0.191959,-0.8013505,0.2157381,-0.6863752,0.1817735,-1.039721,0.144388,-1.083065,0.1282128,3.455729698,2.974231434,NA,NA,NA
Niue,NIU,4,No_AQ_CCS,Oceania,Polynesia,M,300.997,0,0,0,0,1,0.00E+00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NA,NA,NA,NA,yes
Netherlands,NLD,2,AQ,Europe,Western Europe,IM,36059.7,0,0,0,1,0,0,17231017,9.14E+11,0.933,very high,ND,51260,ND,ND,ND,NA,82,2.009026,0.1434279,1.850466,0.2221446,0.8682934,0.211271,2.01824,0.2226358,1.816361,0.1569692,1.596444,0.1455305,0.364723408,26.67468616,NA,NA,NA
Norway,NOR,1,AQ_CCS,Europe,Northern Europe,IM,339515,0.003194065,0.57121146,0,0.425571814,0,2.27E-05,5314336,4.35E+11,0.954,very high,ND,80790,ND,ND,ND,NA,84,2.089907,0.1451362,1.887119,0.2221446,1.153804,0.211271,1.75844,0.2226358,1.965631,0.1569692,1.732547,0.1437459,5.924530461,0.830781615,NA,NA,NA
Nepal,NPL,2,AQ,Asia,Southern Asia,I,147050,0,0,1,0,0,0,28087871,28812491892,0.579,medium,ND,960,ND,ND,67.90843,yes,31,-0.6736505,0.1495073,-0.9023383,0.2191608,-0.6251459,0.2235309,-0.7456533,0.1903177,-0.4780528,0.1523167,-0.1319581,0.1345571,1.134180282,ND,yes,yes,NA
Nauru,NRU,3,No_AQ_CCS,Oceania,Micronesia,M,29.917,0,0,0,0,1,0,12704,114718022.8,..,other,ND,11240,ND,ND,ND,NA,NA,-0.5539093,0.8766024,-0.076744,1.048439,0.5126343,0.5967359,-0.0467818,1.07567,-0.6908471,0.9201411,0.660958,0.2962991,0,ND,NA,NA,yes
New Zealand,NZL,1,No_AQ_CCS,Oceania,Australia & New Zealand,IM,274354,0.00051052,0.002027712,0.734264852,0.263159972,0,3.69E-05,4885500,2.05E+11,0.921,very high,ND,40820,ND,ND,ND,NA,87,2.174696,0.1451362,1.670251,0.2221446,1.541482,0.211271,1.978822,0.2226358,1.876294,0.1569692,1.623501,0.1437459,1.044214669,30.3711096,NA,NA,NA
Oman,OMN,2,AQ,Asia,Western Asia,M,314317,0,0,0.04320151,0,0.956798489,0,4829483,79294928479,0.834,very high,ND,15110,ND,ND,95.65153,NA,52,0.2460828,0.1705661,0.1865782,0.2525324,0.6545912,0.225094,0.3100107,0.2312884,0.4648626,0.181909,-1.026107,0.1400875,23.48769133,0.123193767,NA,NA,NA
Pakistan,PAK,1,AQ,Asia,Southern Asia,IM,796384,0,0,0.926809716,0,0.0731893,9.84E-07,212215030,3.13E+11,0.56,medium,ND,1580,ND,ND,ND,yes,33,-0.7907338,0.131802,-0.6338443,0.2063302,-2.267435,0.2157381,-0.6444417,0.1817709,-0.6730217,0.1495493,-0.8006933,0.1298104,1.051665576,0.766529035,NA,NA,NA
Panama,PAN,4,No_AQ_CCS,Americas,Central America,IM,78465.1,0,0,0,0,0.999988739,1.13E-05,4176873,65055100000,0.795,high,49.9,14370,ND,ND,95.41181,NA,37,-0.567027,0.126506,-0.019452,0.1945948,0.2771547,0.2157381,0.4016129,0.1873093,-0.0592212,0.1445868,0.5805006,0.1307513,0.192480984,1.68141685,NA,NA,NA
Peru,PER,1,AQ_CCS,Americas,South America,IM,1292860,0,0,0.011562994,0,0.988434409,2.60E-06,31989256,2.22E+11,0.759,high,43.3,6530,20.5,ND,94.40827,NA,35,-0.5401052,0.1182229,-0.2454309,0.1831254,-0.2593005,0.211271,0.5182164,0.1753201,-0.5170875,0.1397771,0.2345341,0.1280941,8.913026794,0.481531062,NA,NA,NA
Philippines,PHL,1,AQ_CCS,Asia,South-Eastern Asia,IM,311760,0,0,1.35E-05,0,0.999242316,0.00074415,106651922,3.31E+11,0.712,high,ND,3830,ND,ND,ND,NA,36,-0.5448154,0.1255713,0.0495094,0.1955121,-1.121844,0.211271,0.0459113,0.1753201,-0.4776694,0.1448283,0.0379877,0.1296873,1.208229492,1.159062929,NA,NA,NA
Palau,PLW,2,No_AQ_CCS,Oceania,Micronesia,M,668.188,0,0,0,0,0.99813486,0.00186514,17907,310111145,0.814,very high,ND,16910,ND,ND,ND,NA,NA,-0.5539093,0.8766024,-0.0121242,1.048439,0.8627383,0.5967359,-0.0116495,1.07567,0.3065613,0.7551836,1.146016,0.2962991,0,82.98762752,NA,NA,yes
Papua New Guinea,PNG,3,No_AQ_CCS,Oceania,Melanesia,IM,473089,0,0,0,0,0.999930251,6.97E-05,8606316,23431596214,0.543,low,ND,2530,ND,ND,ND,yes,28,-0.8760095,0.1571753,-0.6773402,0.2379872,-0.6669981,0.2301576,-0.5433646,0.2000993,-0.7658504,0.1749496,0.043219,0.1409967,21.83475573,0.190475346,NA,NA,yes
Poland,POL,3,No_AQ_CCS,Europe,Eastern Europe,IM,312924,0,0,0,1,0,0,37978548,5.86E+11,0.872,very high,ND,14150,ND,ND,ND,NA,60,0.6414219,0.1309793,0.6626508,0.2132453,0.5450124,0.211271,0.8819272,0.1982157,0.4278919,0.1409364,0.7238377,0.1309706,0.955618388,22.57182283,NA,NA,NA
Puerto Rico,PRI,4,No_AQ_CCS,Americas,Caribbean,M,9404.61,NA,NA,NA,NA,NA,NA,3195153,1.01E+11,NA,NA,ND,21100,ND,ND,ND,NA,NA,0.0401706,0.2826696,-0.156924,0.3318715,0.4000113,0.239692,0.9279462,0.3641367,0.5868457,0.2123641,0.4919728,0.2493472,ND,1.74720504,NA,NA,yes
Korea Dem. People's Rep,PRK,2,No_AQ_CCS,Asia,Eastern Asia,IM,124236,0,0,0,0.99998375,0,1.63E-05,25549819,ND,..,other,ND,ND,ND,ND,ND,yes,14,-1.566256,0.166334,-1.57276,0.265315,-0.3516326,0.2301576,-2.344563,0.225561,-1.634559,0.1925986,-2.202045,0.1426797,ND,0.022085517,NA,NA,NA
Portugal,PRT,3,AQ,Europe,Western Europe,IM,93186,0,0,1,0,0,0,10281762,2.38E+11,0.85,very high,ND,21680,ND,ND,96.13759,NA,64,0.8498304,0.1434279,1.208909,0.2221446,1.140031,0.211271,0.8900307,0.2226358,1.140912,0.1569692,1.204607,0.1437459,0.352397454,16.56393475,NA,NA,NA
Paraguay,PRY,4,No_AQ_CCS,Americas,South America,I,399368,0,0,0.19794434,0,0.80205566,0.00E+00,6956071,40842341774,0.724,high,48.8,5680,ND,ND,94.0208,NA,29,-0.8474646,0.1345388,-0.5172144,0.2054188,-0.1192975,0.2209855,-0.1242119,0.2163536,-0.5411182,0.1631791,0.0537697,0.1361727,1.545607443,ND,NA,yes,NA
Palestine Occupied Tr.,PSE,4,AQ,Asia,Western Asia,M,6230.25,NA,NA,NA,NA,NA,NA,4569087,14615900000,0.69,medium,ND,3710,ND,ND,97.21861,NA,NA,-0.1954203,0.2492529,-0.7608902,0.3238459,-1.735649,0.239692,0.0524449,0.3641367,-0.4837196,0.2065851,-0.9017643,0.1713592,0,ND,NA,NA,NA
French Polynesia,PYF,2,No_AQ_CCS,Oceania,Polynesia,IM,6283.24,NA,NA,NA,NA,NA,NA,277679,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,0.004315389,NA,NA,yes
Qatar,QAT,4,AQ,Asia,Western Asia,M,11758.5,0,0,0.999931996,0,0,6.80E-05,2781677,1.92E+11,0.848,very high,ND,61190,ND,ND,ND,NA,62,0.7248945,0.1525502,0.6312364,0.2154892,0.6783724,0.2161918,0.5151712,0.2138331,0.7346737,0.1647417,-1.195095,0.1380583,17.94662127,1.682327933,NA,NA,NA
Reunion,REU,4,No_AQ_CCS,Africa,Eastern Africa,M,2659.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6316952,0.4023822,1.108839,0.4585745,0.2692141,0.3255743,1.187921,0.4940268,1.120189,0.4841593,ND,ND,NA,NA,NA,NA,NA
Romania,ROU,4,AQ,Europe,Eastern Europe,IM,238419,0,0,0,1,0,0,19473936,2.40E+11,0.816,very high,ND,11290,ND,ND,98.8445,NA,47,-0.1216504,0.1267572,-0.2534418,0.1982992,0.0593082,0.211271,0.4453986,0.180271,0.3254628,0.1338652,0.4577805,0.1279276,0.846163148,23.09630496,NA,NA,NA
Russian Federation,RUS,1,No_AQ_CCS,Europe/Asia,Eastern Europe/Western Asia,IM,16837400,0.065504073,0.565590971,6.46E-05,0.363166862,0,3.19E-03,144478050,1.66E+12,0.824,very high,ND,10230,12.9,ND,99.73006,NA,28,-0.8451133,0.1309793,-0.0608858,0.2132453,-0.5037209,0.211271,-0.5404854,0.1982157,-0.8153201,0.1409364,-1.058007,0.1279276,10.70197923,2.974560105,NA,NA,NA
Rwanda,RWA,3,No_AQ_CCS,Africa,Eastern Africa,I,24416.7,0,0,0,0,1,0,12301939,9509003197,0.536,low,ND,780,ND,ND,73.21559,yes,56,0.5782577,0.1604078,0.2068089,0.1893241,0.1159507,0.2293836,0.0841578,0.1831593,0.1181115,0.1496957,-1.129916,0.1356451,5.899483398,ND,yes,yes,NA
Saudi Arabia,SAU,3,AQ,Asia,Western Asia,M,1956460,0,0,0.680856342,0,0.319132985,1.07E-05,33699947,7.82E+11,0.857,very high,ND,21540,ND,ND,ND,NA,49,0.3596962,0.1525502,0.3234982,0.2132453,-0.5181113,0.2161918,-0.0458949,0.2138331,0.1417293,0.164106,-1.644232,0.1380583,23.75815421,2.494101105,NA,NA,NA
Sudan,SDN,3,No_AQ_CCS,Africa,Northern Africa,IM,2496320,0,0,0.051165574,0,0.948831424,3.00E-06,41801533,40851536134,0.507,low,ND,1560,ND,ND,60.69718,yes,16,-1.426933,0.1432484,-1.619857,0.1923392,-1.835869,0.225094,-1.630347,0.1780088,-1.119796,0.1519903,-1.841044,0.1304623,4.622687611,15.96435524,yes,NA,NA
Senegal,SEN,1,AQ_CCS,Africa,West Africa,IM,197163,0,0,0,0,0.999983111,1.69E-05,15854360,24129599552,0.514,low,ND,1410,ND,ND,ND,yes,45,-0.0247014,0.1273428,-0.2678156,0.1805988,-0.0886327,0.2157381,-0.1076691,0.1665556,-0.2080795,0.1387609,0.2396943,0.1242243,3.82233549,1.114826483,yes,NA,NA
Singapore,SGP,4,No_AQ_CCS,Asia,South-Eastern Asia,M,729.796,0,0,0,0,1,0.00E+00,5638676,3.64E+11,0.935,very high,ND,58770,ND,ND,97.34486,NA,85,2.174524,0.1352266,2.231474,0.2132453,1.510339,0.211271,2.131565,0.1982157,1.844891,0.154149,-0.0591089,0.1323162,0.000428527,0.013178569,NA,NA,yes
Solomon Islands,SLB,2,CCS,Oceania,Melanesia,M,33040.3,0,0,0,0,0.999440361,0.00055964,652858,1411904531,0.557,medium,ND,2000,ND,ND,ND,yes,44,-0.0049462,0.2716164,-1.054241,0.3491045,0.3004147,0.2638418,-0.8411345,0.2906961,-0.2278951,0.2945789,0.5343427,0.2482689,22.59696839,0.118055185,yes,NA,yes
Sierra Leone,SLE,2,CCS,Africa,West Africa,IM,73037.8,0,0,0,0,1,0,7650154,3999945202,0.438,low,ND,500,ND,ND,43.20633,yes,30,-0.4921698,0.1305735,-1.142948,0.1874648,-0.0298916,0.2201839,-0.9059859,0.1684377,-0.7695495,0.1435289,-0.1791686,0.1271977,22.15351226,0.537561271,yes,NA,NA
El Salvador,SLV,4,No_AQ_CCS,Americas,Central America,IM,20773.8,0,0,0.00E+00,0,1,0,6420744,26056950000,0.667,medium,38,3820,ND,ND,ND,NA,35,-0.5911077,0.1219236,-0.4471425,0.191959,-0.3348508,0.2157381,-0.0387822,0.1817735,-0.8247701,0.144388,0.0418064,0.1282128,0.94033783,0.705446691,NA,NA,NA
Somalia,SOM,3,No_AQ_CCS,Africa,Eastern Africa,IM,635472,0,0,0,0,0.999998662,1.34E-06,15008154,4721000393,..,other,ND,ND,ND,ND,ND,yes,10,-1.800085,0.1553286,-2.19103,0.1936536,-2.219771,0.225094,-2.314809,0.1911103,-2.332786,0.1540808,-1.833135,0.1337425,15.17980948,ND,yes,NA,NA
Serbia,SRB,4,AQ,Europe,Eastern Europe,I,NA,0,0,0.001548772,0.998451228,0,0.00E+00,6982084,50508366850,0.799,high,ND,6390,ND,ND,98.2892,NA,39,-0.3702148,0.1360668,0.1116198,0.22757,0.0824774,0.2157381,0.0074444,0.2076896,-0.1464036,0.145667,0.0018319,0.1280458,1.305879415,ND,NA,NA,NA
South Sudan,SSD,2,No_AQ_CCS,Africa,Eastern Africa,I,NA,0,0,0,0,1,0.00E+00,10975920,ND,0.413,low,ND,ND,ND,ND,34.52276,yes,13,-1.727954,0.1882964,-2.449409,0.2213946,-2.439316,0.2562913,-2.064091,0.2083305,-1.958408,0.2071321,-1.977599,0.1625956,ND,ND,yes,yes,NA
Sao Tome and Principe,STP,2,No_AQ_CCS,Africa,Middle Africa,M,1119.7,0,0,0,0,1,0.00E+00,211028,422296762.3,0.609,medium,ND,1890,ND,ND,92.81664,yes,46,0.1838712,0.1828222,-0.6393903,0.2212417,0.5335671,0.239692,-0.8459124,0.209322,-0.6863676,0.1661737,0.1583277,0.1598258,2.929851769,0.026786493,yes,NA,yes
Suriname,SUR,3,No_AQ_CCS,Americas,South America,IM,146329,0,0,0,0,1,0,575991,3427269682,0.724,high,ND,4990,ND,ND,94.38327,NA,43,-0.2114844,0.168254,-0.6553037,0.2917387,0.0773252,0.224247,-0.6315839,0.2484729,-0.0639684,0.1817286,0.3158507,0.1511253,33.1771126,1.543223714,NA,NA,yes
Slovakia,SVK,4,No_AQ_CCS,Europe,Eastern Europe,I,49027.1,0,0,0,1,0,0,5447011,1.06E+11,0.857,very high,ND,18330,ND,ND,ND,NA,50,0.3629198,0.1411197,0.7074615,0.2132453,0.7504383,0.2161918,0.8107936,0.2138331,0.5290585,0.1484249,0.878241,0.1379168,0.290216688,ND,NA,NA,NA
Slovenia,SVN,4,AQ,Europe,Eastern Europe,IM,20297.9,0,0,0,1,0,0,2067372,54235484383,0.902,very high,ND,24840,ND,ND,ND,NA,60,0.8702175,0.1309793,1.125806,0.2132453,0.9109183,0.211271,0.6948206,0.1982157,1.058505,0.1409364,0.9910611,0.1309706,0.213509064,213.4250852,NA,NA,NA
Sweden,SWE,3,AQ,Europe,Northern Europe,IM,455011,0,0.60975387,0,0.39022976,0,1.64E-05,10183175,5.51E+11,0.937,very high,ND,55040,ND,ND,ND,NA,85,2.139578,0.1434279,1.830975,0.2221446,0.9136876,0.211271,1.800021,0.2226358,1.895983,0.1569692,1.611055,0.1437459,0.542100946,15.21318498,NA,NA,NA
Swaziland,SWZ,4,No_AQ_CCS,Africa,Southern Africa,I,17373.2,0,0,0.082892907,0,0.917107093,0,1136191,4703787507,NA,NA,ND,3850,ND,ND,88.41938,NA,38,-0.2178724,0.1837496,-0.6599468,0.2173933,-0.3086324,0.2347493,-0.6039193,0.2135614,-0.2485004,0.1664278,-1.33905,0.1421006,2.809621134,ND,NA,NA,NA
Sint Maarten,SXM,4,No_AQ_CCS,Americas,Caribbean,M,NA,NA,NA,NA,NA,NA,NA,40654,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,8.691259724,NA,NA,NA
Seychelles,SYC,1,AQ_CCS,Africa,Eastern Africa,M,266.715,0,0,0,0,0.960302328,0.039697672,96762,1590180446,0.801,very high,ND,15600,ND,ND,95.86771,NA,66,0.7026863,0.1790231,0.502284,0.2062318,0.6970197,0.2347493,-0.1489415,0.2052808,0.2000629,0.1592175,0.2116492,0.1577877,0.107254226,0.036102786,NA,NA,yes
Syrian Arab Republic,SYR,4,No_AQ_CCS,Asia,Western Asia,IM,186475,0,0,1,0,0,0,16906283,ND,0.549,low,ND,ND,ND,ND,ND,yes,13,-1.626812,0.1785744,-1.671169,0.2724083,-2.739623,0.2301576,-1.795827,0.2364093,-2.047868,0.1930713,-1.958449,0.1443941,ND,0.246979557,NA,NA,NA
Turks and Caicos Is.,TCA,1,AQ,Americas,Caribbean,M,919.575,NA,NA,NA,NA,NA,NA,37665,1022312010,NA,NA,ND,26740,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,0.09713326,NA,NA,yes
Chad,TCD,2,CCS,Africa,Middle Africa,I,1265870,0,0,0.067338412,0,0.932661587,0,15477751,11302544205,0.401,low,ND,670,ND,ND,ND,yes,19,-1.410393,0.1604078,-1.528847,0.1893241,-1.478995,0.2293836,-1.112313,0.1831593,-1.305276,0.1496957,-1.45447,0.1356451,21.95567247,ND,yes,yes,NA
Togo,TGO,4,AQ,Africa,West Africa,IM,57079.3,0,0,0,0,1,0,7889094,5300214337,0.513,low,ND,650,ND,68.7,ND,yes,30,-0.7275374,0.1424652,-1.057791,0.1907385,-0.9817027,0.225094,-0.6506074,0.1780088,-0.5908715,0.1514907,-0.7431359,0.1316689,16.4416229,0.199648311,yes,NA,NA
Thailand,THA,1,CCS,Asia,South-Eastern Asia,IM,518117,0,0,0,0,0.999981975,1.80E-05,69428524,5.05E+11,0.765,high,36.5,6610,ND,ND,ND,NA,36,-0.3988041,0.1293461,0.3499596,0.1982992,-0.733099,0.211271,0.1116317,0.180271,0.0232979,0.1450289,-1.005582,0.1309706,1.674491409,1.881384458,NA,NA,NA
Tajikistan,TJK,4,AQ,Asia,Central Asia,I,141880,0,0,0.650862102,0.349137898,0,0,9100837,7522947810,0.656,medium,ND,1010,ND,35.2,ND,yes,25,-1.415102,0.1624154,-1.097704,0.2380511,-0.7243188,0.2339885,-1.048576,0.2079773,-1.282616,0.1524956,-1.689398,0.138546,5.688128914,ND,NA,yes,NA
Tokelau,TKL,2,No_AQ_CCS,Oceania,Polynesia,M,97.941,0,0,0,0,1,0.00E+00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,TKM,4,No_AQ_CCS,Asia,Central Asia,I,489350,0,0,0.166800326,0.722954145,0,0.110245529,5850908,40761142857,0.71,high,ND,6740,ND,ND,ND,NA,20,-1.357742,0.1881381,-1.044102,0.2979874,-0.0068957,0.2339885,-1.998719,0.2497173,-1.452363,0.1640527,-2.143717,0.1419189,17.41530865,2.993862844,NA,yes,NA
Timor-Leste,TLS,4,No_AQ_CCS,Asia,South-Eastern Asia,M,15320.5,0,0,0,0,0.999432463,0.000567538,1267972,2581000000,0.626,medium,ND,1820,ND,ND,68.06683,NA,35,-0.4735851,0.2041037,-0.9826074,0.2648508,0.298182,0.239692,-0.7858377,0.2205652,-1.127902,0.1798081,0.3397629,0.1490231,31.45844516,1.374345466,yes,NA,yes
Tonga,TON,4,No_AQ_CCS,Oceania,Polynesia,M,1143.86,0,0,0,0,0.987892061,0.012107939,103197,450353313.9,0.717,high,ND,4300,ND,ND,99.41437,NA,NA,-0.0708953,0.2556852,0.1393548,0.3345361,0.8794378,0.2638418,-0.3512902,0.2712011,0.3874137,0.3059418,0.5628479,0.2569508,0.04650728,1.505139529,NA,NA,yes
Trinidad and Tobago,TTO,4,AQ,Americas,Caribbean,M,5512.99,0,0,0,0,1,0,1389858,23410353435,0.799,high,ND,16240,ND,ND,ND,NA,41,-0.317267,0.1430892,0.1902379,0.223111,0.2480514,0.2201839,-0.0206371,0.1899983,-0.1205074,0.1568497,0.5656093,0.1347382,7.703946525,0.048908912,NA,NA,NA
Tunisia,TUN,3,AQ,Africa,Northern Africa,IM,156054,0,0,0.999995591,0,0,4.41E-06,11565204,39860715814,0.739,high,ND,3500,ND,ND,ND,NA,43,-0.0534863,0.1273428,-0.1052618,0.1805988,-0.9018921,0.2157381,-0.4110191,0.1665556,0.0393894,0.1387609,0.210815,0.1242243,2.40914468,1.035516131,NA,NA,NA
Turkey,TUR,2,AQ_CCS,Asia,West Africa,IM,795532,0,0,0.654930294,0.345064622,0,5.08E-06,82319724,7.67E+11,0.806,very high,ND,10380,ND,ND,ND,NA,41,-0.3353838,0.1322976,0.0060968,0.20857,-1.328783,0.2148525,-0.0474772,0.1778175,-0.3192984,0.1503027,-0.8329394,0.1299241,0.363303284,0.105570642,NA,NA,NA
Tuvalu,TUV,1,No_AQ_CCS,Oceania,Polynesia,M,109.286,0,0,0,0,0.882662397,0.117337603,11508,42587778.47,..,other,ND,5430,ND,ND,ND,NA,NA,0.0285799,0.3084422,-0.6936518,0.3491045,1.425432,0.2978511,-0.5692701,0.32586,0.5298821,0.3165517,1.146016,0.2962991,0,0.008483092,yes,NA,yes
Taiwan,TWN,?,No_AQ_CCS,Asia,Eastern Asia,IM,36935.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1.027658,0.1447188,1.362331,0.2132453,0.8534058,0.2161918,1.355507,0.2138331,1.112281,0.164106,0.977472,0.1394906,NA,NA,NA,NA,NA
Tanzania,TZA,1,AQ_CCS,Africa,Eastern Africa,IM,895643,0,0,0,0,0.999995478,4.52E-06,56318348,57437073927,0.528,low,ND,1020,ND,ND,ND,yes,36,-0.4479853,0.1273428,-0.7562658,0.1805988,-0.5591016,0.2157381,-0.6128686,0.1665556,-0.554994,0.1387609,-0.364481,0.1242243,6.616386051,3.015031175,yes,NA,NA
Uganda,UGA,1,AQ_CCS,Africa,Eastern Africa,I,210797,0,0,0,0,1,0,42723139,27476945526,0.528,low,ND,620,ND,ND,76.5275,yes,26,-1.037357,0.1273428,-0.6060399,0.1805988,-0.6914156,0.2157381,-0.25123,0.1665556,-0.294705,0.1387609,-0.6666496,0.1242243,13.85620466,ND,yes,yes,NA
Ukraine,UKR,4,No_AQ_CCS,Europe,Western Europe,IM,601802,0,0,0,0.999988075,0,1.19E-05,44622516,1.31E+11,0.75,high,ND,2660,1.3,ND,ND,NA,32,-0.8736908,0.1267572,-0.4152199,0.1982992,-1.826185,0.211271,-0.2200751,0.180271,-0.7177935,0.1338652,-0.0137297,0.1279276,3.999670885,3.415155624,NA,NA,NA
Uruguay,URY,4,No_AQ_CCS,Americas,South America,IM,177579,0,0,0.999992115,0,0,7.89E-06,3449299,59596885024,0.808,very high,39.5,15650,ND,ND,98.70386,NA,70,1.265534,0.1219236,0.5582148,0.191959,1.046509,0.2157381,0.4992745,0.1817735,0.5991074,0.144388,1.21235,0.1294743,1.649149655,0.716039762,NA,NA,NA
United States of America,USA,1,CCS,Americas,North America,IM,9389660,0.014858028,0.122071701,0.355708411,0.503899508,0.003222769,0.000239583,327167434,2.05E+13,0.92,very high,ND,62850,ND,ND,ND,NA,71,1.323218,0.1390927,1.576998,0.2221446,0.4774609,0.211271,1.577987,0.2226358,1.453255,0.1547573,1.039329,0.1435951,0.473108552,41.05740777,NA,NA,NA
Uzbekistan,UZB,4,AQ,Asia,Central Asia,I,418154,0,0,0.102640394,0.897359606,0,0,32955400,50499920318,0.71,high,ND,2020,ND,ND,ND,yes,23,-1.068714,0.1465122,-0.5470828,0.2380511,-0.283422,0.2277857,-1.102867,0.1935247,-1.073632,0.1444073,-1.615988,0.1329981,14.69499926,ND,NA,yes,NA
Saint Vincent/Grenadines,VCT,2,CCS,Americas,Caribbean,M,586.593,0,0,0,0,1,0.00E+00,110210,813093984.1,0.728,high,ND,7940,ND,ND,ND,NA,58,0.7688255,0.2344027,0.1956703,0.3493173,0.8540489,0.2550432,0.2558284,0.2547005,0.4326417,0.2467966,0.8780061,0.2410059,0.040176999,0.220097096,NA,NA,NA
"Venezuela, Boliv Rep of",VEN,2,AQ,Americas,South America,IM,914119,0,0,0,0,0.999995396,4.60E-06,28870195,ND,0.726,high,ND,ND,ND,ND,ND,NA,18,-1.467512,0.1216261,-1.581517,0.1946993,-1.343512,0.211271,-2.33437,0.1916899,-2.338622,0.1478863,-1.414395,0.1280941,ND,3.485964909,NA,NA,NA
British Virgin Islands,VGB,3,No_AQ_CCS,Americas,Caribbean,M,311.696,NA,NA,NA,NA,NA,NA,29802,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,0.004115696,NA,NA,yes
US Virgin Islands,VIR,4,No_AQ_CCS,Americas,Caribbean,M,524.12,NA,NA,NA,NA,NA,NA,106977,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,0.6316952,0.4023822,0.8301269,0.4585745,0.9858225,0.2825343,0.8194681,0.4940268,1.120189,0.4841593,ND,ND,ND,0.850065911,NA,NA,yes
Vietnam,VNM,1,AQ_CCS,Asia,South-Eastern Asia,IM,331969,0,0,0.159389195,0,0.840448682,1.62E-04,95540395,2.45E+11,0.693,medium,ND,2400,ND,ND,95.00038,NA,33,-0.4853567,0.1293781,-0.0034448,0.2063741,0.2032657,0.2157381,-0.3858519,0.1817735,-0.0032823,0.1499763,-1.445501,0.1299284,2.861402446,0.560890836,NA,NA,NA
Vanuatu,VUT,2,No_AQ_CCS,Oceania,Melanesia,M,13873.9,0,0,0,0,0.999800548,0.000199452,292680,887817896.3,0.597,medium,ND,2970,ND,ND,87.50631,NA,46,-0.1629424,0.2335084,-0.4917117,0.3345361,0.8379562,0.2978511,-0.4740178,0.2712011,0.3358953,0.300376,0.5367252,0.239846,0.786780126,0.007637346,yes,NA,yes
Samoa,WSM,2,No_AQ_CCS,Oceania,Melanesia,IM,3105.29,0,0,0,0,0.999711167,2.89E-04,196130,861494700.7,0.707,high,ND,4190,ND,ND,99.09577,NA,NA,0.6423859,0.3084422,0.5907587,0.3491045,1.186755,0.2638418,-0.1145988,0.2906961,0.8239359,0.3165517,0.7639147,0.2673896,0.44669654,0.086804052,NA,NA,yes
Yemen,YEM,2,No_AQ_CCS,Asia,Western Asia,M,417345,0,0,0,0,0.999990931,9.07E-06,28498687,26914402224,0.463,low,ND,960,ND,ND,ND,yes,14,-1.637971,0.1491541,-2.244354,0.2168041,-3.002496,0.225771,-1.536205,0.1965637,-1.790394,0.1677396,-1.750749,0.1406941,1.946931999,0.4675735,yes,NA,NA
South Africa,ZAF,1,CCS,Africa,Southern Africa,IM,1221340,0.000271821,0,0.786396362,0,0.213331817,0,57779622,3.68E+11,0.705,high,ND,5750,ND,ND,ND,NA,43,-0.021569,0.1231436,0.3403786,0.1731845,-0.2766732,0.211271,0.171912,0.1615488,-0.1024957,0.1346535,0.6573899,0.1241164,5.140270609,12.05646212,NA,NA,NA
